"Marca temporal","Edad","Esta al tanto de la situacion economica del pais?","Conoce usted el teorema de imposibilidad de Arrow?","Que opina del liberalismo?"
"2022/07/10 12:04:22 p. m. GMT-3","de 17 a 20","Si","Si","estoy de acuerdo con lo que plantea"
"2022/07/10 12:06:36 p. m. GMT-3","de 17 a 20","No","Me suena","no estoy de acuerdo con lo que plantea"
"2022/07/10 12:06:44 p. m. GMT-3","de 17 a 20","Si","Si","estoy de acuerdo con lo que plantea"
"2022/07/10 12:06:52 p. m. GMT-3","mayor de 40","No","No","no estoy de acuerdo con lo que plantea"
"2022/07/10 12:06:59 p. m. GMT-3","de 31 a 40","Si","No","no estoy de acuerdo con lo que plantea"
"2022/07/10 12:24:13 p. m. GMT-3","de 17 a 20","No","No","no se lo suficiente para opinar"
"2022/07/10 12:24:20 p. m. GMT-3","de 17 a 20","Si","Me suena","estoy de acuerdo con lo que plantea"
"2022/07/10 12:25:59 p. m. GMT-3","de 10 a 16","Si","No","no se lo suficiente para opinar"
"2022/07/10 12:30:06 p. m. GMT-3","de 10 a 16","Si","No","no se lo suficiente para opinar"
"2022/07/10 12:30:24 p. m. GMT-3","de 17 a 20","No","No","no se lo suficiente para opinar"
"2022/07/10 12:52:19 p. m. GMT-3","de 17 a 20","Si","No","no se lo suficiente para opinar"
"2022/07/10 12:57:49 p. m. GMT-3","de 17 a 20","Si","Me suena","no se lo suficiente para opinar"
"2022/07/10 1:01:23 p. m. GMT-3","mayor de 40","Si","Me suena","estoy de acuerdo con lo que plantea"
"2022/07/10 1:06:51 p. m. GMT-3","mayor de 40","Si","No","no estoy de acuerdo con lo que plantea"
"2022/07/10 1:23:03 p. m. GMT-3","de 21 a 30","Si","Me suena","estoy de acuerdo con lo que plantea"
"2022/07/10 1:31:04 p. m. GMT-3","de 17 a 20","Si","Me suena","no se lo suficiente para opinar"
"2022/07/10 6:09:32 p. m. GMT-3","de 17 a 20","Si","Si","estoy de acuerdo con lo que plantea"
"2022/07/10 6:27:09 p. m. GMT-3","de 21 a 30","Si","No","no se lo suficiente para opinar"
"2022/07/10 9:40:17 p. m. GMT-3","mayor de 40","Si","No","estoy de acuerdo con lo que plantea"
"2022/07/11 1:54:52 p. m. GMT-3","de 17 a 20","Si","No","estoy de acuerdo con lo que plantea"
"2022/07/11 1:57:24 p. m. GMT-3","de 17 a 20","Si","No","estoy de acuerdo con lo que plantea"
"2022/07/11 2:27:35 p. m. GMT-3","mayor de 40","Si","No","estoy de acuerdo con lo que plantea"
"2022/07/11 2:56:31 p. m. GMT-3","de 10 a 16","No","No","no se lo suficiente para opinar"
"2022/07/11 3:02:25 p. m. GMT-3","de 17 a 20","Si","Me suena","estoy de acuerdo con lo que plantea"
"2022/07/11 3:22:29 p. m. GMT-3","de 17 a 20","Si","Si","no se lo suficiente para opinar"
"2022/07/11 3:52:30 p. m. GMT-3","de 10 a 16","Si","No","estoy de acuerdo con lo que plantea"
"2022/07/12 9:02:06 a. m. GMT-3","de 10 a 16","Si","No","estoy de acuerdo con lo que plantea"